revision	construction	test_type	accuracy	delta_surps	delta_surps_and	delta_accuracy	delta_accuracy_zscale
step8	not to mention	VP Conjunction	0.1765369430344049	0.1424327942858425	0.2129836025980321	-0.2267343485617598	-1.366831008076726
step8	not to mention	VP Gap Conjunction	0.2470389170896785	0.2252800511695272	0.2933311209595277	-0.12633953750705018	-0.8213332752376588
step8	not to mention	Avg_Test	0.5585636397819139	0.0539362328822147	0.0622315264259161	0.08648242150780233	0.3350401958743711
step8	not to mention	Avg_Control	0.2117879300620417	0.1838564227276848	0.2531573617787799	-0.176536943034405	-1.0940821416571924
step8	never mind	NPI	0.9323181049069372	-0.4382850052069217	-0.5414982487505865	0.216018048505358	1.0388752856236523
step8	never mind	Pseudocleft	0.2741116751269035	-0.3141383145800835	-0.2039240010364272	0.04512126339537509	0.11030330219535428
step8	never mind	CP Conjunction	0.0	0.6230142015692748	0.9321168290647625	-0.1331077270163564	-0.8581084032942248
step8	never mind	VP Conjunction	0.2019176536943034	0.1382465792858729	0.2129836025980321	-0.2447828539199098	-1.4648980162275693
step8	never mind	VP Gap Conjunction	0.2673434856175973	0.2511825195760023	0.2933311209595277	-0.36999435984207557	-2.1452378852740455
step8	never mind	Avg_Test	0.4021432600112802	-0.0431363727392435	0.0622315264259161	0.042677194961458886	0.09702339484159393
step8	never mind	Avg_Control	0.2346305696559503	0.1947145494309376	0.2531573617787799	-0.3073886068809928	-1.8050679507508078
step16	let alone	NPI	0.9977439368302312	-0.3958020810010535	-0.5306253400954296	0.23970671178793002	1.167588233821635
step16	let alone	Pseudocleft	0.0783981951494641	-0.0100996014228729	0.1064795829183424	-0.08347433728144389	-0.5884241308794056
step16	let alone	CP Conjunction	0.0	0.5552112990291659	0.8622626005023197	-0.0028200789622109	-0.15018718820532356
step16	let alone	VP Conjunction	0.0468133107727016	0.1923052448373829	0.2981042964137078	-0.2205301748448957	-1.3331204740248734
step16	let alone	VP Gap Conjunction	0.009024252679075	0.2233172952960725	0.307761790990426	-0.2053017484489565	-1.2503764358975986
step16	let alone	Avg_Test	0.3587140439932317	0.0497698722017464	0.1460389477750775	0.05113743184809172	0.14299230491230186
step16	let alone	Avg_Control	0.0279187817258883	0.2078112700667277	0.3029330437020669	-0.2129159616469261	-1.2917484549612361
step16	much less	NPI	0.9774393683023124	-0.4031578936418166	-0.5306253400954296	0.1675126903553299	0.7753202012182611
step16	much less	Pseudocleft	0.0535815002820078	-0.0625882016960268	0.1064795829183424	-0.1314156796390299	-0.8489146212800835
step16	much less	CP Conjunction	0.0	0.5388424551157514	0.8622626005023197	-0.0208685843203609	-0.24825419635616686
step16	much less	VP Conjunction	0.1020868584320361	0.2254576131709874	0.2981042964137078	-0.46080090242526783	-2.6386375200329764
step16	much less	VP Gap Conjunction	0.1421319796954314	0.2618349933785635	0.307761790990426	-0.664410603496898	-3.7449559557346803
step16	much less	Avg_Test	0.3436736228614401	0.0243654532593026	0.1460389477750775	0.005076142131979711	-0.10728287213932969
step16	much less	Avg_Control	0.1221094190637337	0.2436463032747755	0.3029330437020669	-0.562605752961083	-3.191796737883829
step16	not to mention	NPI	0.9971799210377892	-0.4132936023684188	-0.5306253400954296	0.07332205301748462	0.2635330024310478
step16	not to mention	Pseudocleft	0.6142131979695431	0.1349884599060642	0.1064795829183424	-0.13085166384658775	-0.84585002727537
step16	not to mention	CP Conjunction	0.0050761421319796	0.6958592264785379	0.8622626005023197	-0.0016920473773266	-0.14405800019589626
step16	not to mention	VP Conjunction	0.155668358714044	0.2476450553803677	0.2981042964137078	-0.0208685843203609	-0.24825419635616686
step16	not to mention	VP Gap Conjunction	0.1889452904681331	0.2540098594798923	0.307761790990426	-0.05809362662154541	-0.4505174006672819
step16	not to mention	Avg_Test	0.5388230870464372	0.139184694672061	0.1460389477750775	-0.019740552735476702	-0.2421250083467401
step16	not to mention	Avg_Control	0.1723068245910885	0.25082745743013	0.3029330437020669	-0.03948110547095318	-0.3493857985117245
step16	never mind	NPI	1.0	-0.3854634816943759	-0.5306253400954296	0.06768189509306277	0.23288706238390944
step16	never mind	Pseudocleft	0.1285956006768189	-0.0008570466146453	0.1064795829183424	-0.14551607445008458	-0.9255294713979298
step16	never mind	CP Conjunction	0.0	0.4571605172455815	0.8622626005023197	0.0	-0.1348642181817545
step16	never mind	VP Conjunction	0.0045121263395375	0.1713712501848611	0.2981042964137078	-0.1974055273547659	-1.207472119831605
step16	never mind	VP Gap Conjunction	0.0084602368866328	0.1941014013919733	0.307761790990426	-0.2588832487309645	-1.5415128663454156
step16	never mind	Avg_Test	0.3761985335589397	0.0236133296455201	0.1460389477750775	-0.025944726452340527	-0.2758355423985912
step16	never mind	Avg_Control	0.0064861816130851	0.1827363257884172	0.3029330437020669	-0.22814438804286521	-1.3744924930885103
step32	let alone	NPI	0.9960518894529048	-0.2717425214054217	-0.3487028572697863	-0.0016920473773264222	-0.1440580001958953
step32	let alone	Pseudocleft	0.0197405527354765	-0.4439080298047784	-0.381244124763777	-0.0586576424139876	-0.45358199467199584
step32	let alone	CP Conjunction	0.0	0.0902852396203916	0.3101542621296271	0.0	-0.1348642181817545
step32	let alone	VP Conjunction	0.0	0.1901168742559081	0.2780786047395985	-0.0468133107727016	-0.3892255205730046
step32	let alone	VP Gap Conjunction	0.0	0.0439472375989162	0.106360788339958	-0.009024252679075	-0.18389772225717615
step32	let alone	Avg_Test	0.3385974807294604	-0.2084551038632695	-0.1399309066346454	-0.020116563263771314	-0.2441680710165484
step32	let alone	Avg_Control	0.0	0.1170320559274121	0.1922196965397782	-0.0279187817258883	-0.28656162141509034
step32	much less	NPI	1.0	-0.2660246971160492	-0.3487028572697863	0.022560631697687628	-0.01228045799319966
step32	much less	Pseudocleft	0.0276367738296672	-0.449828277519041	-0.381244124763777	-0.025944726452340604	-0.27583554239859165
step32	much less	CP Conjunction	0.0	0.0895280068833748	0.3101542621296271	0.0	-0.1348642181817545
step32	much less	VP Conjunction	0.006204173716864	0.2129547551602074	0.2780786047395985	-0.0958826847151721	-0.6558451989831108
step32	much less	VP Gap Conjunction	0.0033840947546531	0.0530983741446127	0.106360788339958	-0.1387478849407783	-0.8887543433413635
step32	much less	Avg_Test	0.3425455912765557	-0.2087749892505718	-0.1399309066346454	-0.0011280315848843925	-0.1409934061911823
step32	much less	Avg_Control	0.0047941342357586	0.1330265646524101	0.1922196965397782	-0.1173152848279751	-0.7722997711622367
step32	not to mention	NPI	0.9864636209813876	-0.2849155238840584	-0.3487028572697863	-0.010716300056401562	-0.1930915042713177
step32	not to mention	Pseudocleft	0.8945290468133108	-0.3378226010730827	-0.381244124763777	0.2803158488437677	1.3882390021610336
step32	not to mention	CP Conjunction	0.0078962210941906	0.2222354190200315	0.3101542621296271	0.0028200789622110003	-0.1195412481581849
step32	not to mention	VP Conjunction	0.0947546531302876	0.2216700203191474	0.2780786047395985	-0.0609137055837564	-0.4658403706908515
step32	not to mention	VP Gap Conjunction	0.1280315848843767	0.0643516573876361	0.106360788339958	-0.06091370558375642	-0.4658403706908516
step32	not to mention	Avg_Test	0.6296296296296297	-0.1335009019790365	-0.1399309066346454	0.09080654258319243	0.35853541657717725
