revision	construction	test_type	accuracy	delta_surps	delta_surps_and
step32	let alone	VP Conjunction	0.0	0.19011687425590812	0.2780786047395985
step32	let alone	VP Gap Conjunction	0.0	0.04394723759891621	0.10636078833995805
step32	let alone	Avg_Test	0.33859748072946044	-0.2084551038632695	-0.1399309066346454
step32	let alone	Avg_Control	0.0	0.11703205592741216	0.19221969653977827
step32	much less	NPI	1.0	-0.26602469711604926	-0.3487028572697863
step32	much less	Pseudocleft	0.02763677382966723	-0.44982827751904103	-0.38124412476377706
step32	much less	CP Conjunction	0.0	0.08952800688337488	0.3101542621296271
step32	much less	VP Conjunction	0.006204173716864072	0.21295475516020748	0.2780786047395985
step32	much less	VP Gap Conjunction	0.00338409475465313	0.05309837414461277	0.10636078833995805
step32	much less	Avg_Test	0.34254559127655576	-0.2087749892505718	-0.1399309066346454
step32	much less	Avg_Control	0.004794134235758601	0.1330265646524101	0.19221969653977827
step32	not to mention	NPI	0.9864636209813875	-0.2849155238840584	-0.3487028572697863
step32	not to mention	Pseudocleft	0.8945290468133108	-0.3378226010730827	-0.38124412476377706
step32	not to mention	CP Conjunction	0.007896221094190638	0.22223541902003152	0.3101542621296271
step32	not to mention	VP Conjunction	0.09475465313028765	0.22167002031914743	0.2780786047395985
step32	not to mention	VP Gap Conjunction	0.12803158488437677	0.0643516573876361	0.10636078833995805
step32	not to mention	Avg_Test	0.6296296296296297	-0.13350090197903655	-0.1399309066346454
step32	not to mention	Avg_Control	0.1113931190073322	0.14301083885339178	0.19221969653977827
step32	never mind	NPI	1.0	-0.2498355022071111	-0.3487028572697863
step32	never mind	Pseudocleft	0.009588268471517203	-0.44757246850105714	-0.38124412476377706
step32	never mind	CP Conjunction	0.0	-0.007802691085824027	0.3101542621296271
step32	never mind	VP Conjunction	0.0	0.15359743960617767	0.2780786047395985
step32	never mind	VP Gap Conjunction	0.0	0.007972305263426798	0.10636078833995805
step32	never mind	Avg_Test	0.3365294228238391	-0.23507022059799743	-0.1399309066346454
step32	never mind	Avg_Control	0.0	0.08078487243480223	0.19221969653977827
step64	let alone	NPI	0.9937958262831359	-0.1180115883725549	-0.1803595337972625
step64	let alone	Pseudocleft	0.05527354765933446	-0.4056135455700078	-0.35994803293640165
step64	let alone	CP Conjunction	0.0	-0.009820406677624769	0.19357865231896415
step64	let alone	VP Conjunction	0.0	0.19485679616782872	0.33442071488666053
step64	let alone	VP Gap Conjunction	0.0	-0.014584856253859023	0.09945488460172856
step64	let alone	Avg_Test	0.3496897913141568	-0.17781518020672915	-0.11557630480490001
step64	let alone	Avg_Control	0.0	0.09013596995698485	0.21693779974419453
step64	much less	NPI	0.9926677946982515	-0.12095992200736334	-0.1803595337972625
step64	much less	Pseudocleft	0.1212633953750705	-0.41605467347189723	-0.35994803293640165
step64	much less	CP Conjunction	0.0	0.021622503940089573	0.19357865231896415
step64	much less	VP Conjunction	0.0	0.23427077813533087	0.33442071488666053
step64	much less	VP Gap Conjunction	0.0	0.016742139365534564	0.09945488460172856
step64	much less	Avg_Test	0.3713103966911073	-0.17179736384639033	-0.11557630480490001
step64	much less	Avg_Control	0.0	0.12550645875043273	0.21693779974419453
step64	not to mention	NPI	0.8646362098138748	-0.13673044985724384	-0.1803595337972625
step64	not to mention	Pseudocleft	0.9255499153976311	-0.3058511249372264	-0.35994803293640165
step64	not to mention	CP Conjunction	0.02030456852791878	0.10705695068910172	0.19357865231896415
step64	not to mention	VP Conjunction	0.012408347433728144	0.23105378159008252	0.33442071488666053
step64	not to mention	VP Gap Conjunction	0.04512126339537507	0.025004304336143375	0.09945488460172856
step64	not to mention	Avg_Test	0.6034968979131415	-0.11184154136845614	-0.11557630480490001
step64	not to mention	Avg_Control	0.028764805414551606	0.12802904296311293	0.21693779974419453
step64	never mind	NPI	1.0	-0.09542064322500127	-0.1803595337972625
step64	never mind	Pseudocleft	0.11280315848843768	-0.40659039583975354	-0.35994803293640165
step64	never mind	CP Conjunction	0.0	-0.08121109116366537	0.19357865231896415
step64	never mind	VP Conjunction	0.0	0.17269348762025957	0.33442071488666053
step64	never mind	VP Gap Conjunction	0.0	-0.031484415890198264	0.09945488460172856
step64	never mind	Avg_Test	0.37093438616281255	-0.19440737674280673	-0.11557630480490001
step64	never mind	Avg_Control	0.0	0.07060453586503065	0.21693779974419453
step128	let alone	NPI	0.9796954314720813	0.09345168954426464	0.034464991839000626
step128	let alone	Pseudocleft	0.0022560631697687537	-0.21790889260194696	-0.10920948748257761
step128	let alone	CP Conjunction	0.0	-0.2215174937476832	0.009452269296490127
